"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"2005",0.21,"SPI ON","SPI 2","Marara","10","Moderado"
"2006",0.28,"SPI ON","SPI 2","Marara","10","Moderado"
"2007",0.2,"SPI ON","SPI 2","Marara","10","Moderado"
"2008",0.12,"SPI ON","SPI 2","Marara","10","Moderado"
"2009",0.28,"SPI ON","SPI 2","Marara","10","Moderado"
"2010",0.12,"SPI ON","SPI 2","Marara","10","Moderado"
"2011",0.08,"SPI ON","SPI 2","Marara","10","Moderado"
"2012",0.24,"SPI ON","SPI 2","Marara","10","Moderado"
"2013",0.07,"SPI ON","SPI 2","Marara","10","Moderado"
"2014",0.04,"SPI ON","SPI 2","Marara","10","Moderado"
"2015",0.39,"SPI ON","SPI 2","Marara","10","Moderado"
"2016",0.27,"SPI ON","SPI 2","Marara","10","Moderado"
"2017",0.17,"SPI ON","SPI 2","Marara","10","Moderado"
"2018",0.12,"SPI ON","SPI 2","Marara","10","Moderado"
"2019",0,"SPI ON","SPI 2","Marara","10","Moderado"
"2020",0.12,"SPI ON","SPI 2","Marara","10","Moderado"
"1993",0,"SPI OND","SPI 3","Chibuto","10","Moderado"
"1994",0.51,"SPI OND","SPI 3","Chibuto","10","Moderado"
"1995",0.11,"SPI OND","SPI 3","Chibuto","10","Moderado"
"1996",0.09,"SPI OND","SPI 3","Chibuto","10","Moderado"
"1997",0.24,"SPI OND","SPI 3","Chibuto","10","Moderado"
"1998",0.04,"SPI OND","SPI 3","Chibuto","10","Moderado"
"1999",0.09,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2000",0.32,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2001",0.21,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2002",0.44,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2003",0.01,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2004",0.22,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2005",0.18,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2006",0.19,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2007",0.13,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2008",0.3,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2009",0.21,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2010",0.03,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2011",0.3,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2012",0.38,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2013",0.16,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2014",0.05,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2015",0.52,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2016",0.04,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2017",0.1,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2018",0.32,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2019",0.3,"SPI OND","SPI 3","Chibuto","10","Moderado"
"2020",0.14,"SPI OND","SPI 3","Chibuto","10","Moderado"
"1993",0,"SPI OND","SPI 3","Guija","10","Moderado"
"1994",0.51,"SPI OND","SPI 3","Guija","10","Moderado"
"1995",0.1,"SPI OND","SPI 3","Guija","10","Moderado"
"1996",0.08,"SPI OND","SPI 3","Guija","10","Moderado"
"1997",0.3,"SPI OND","SPI 3","Guija","10","Moderado"
"1998",0.07,"SPI OND","SPI 3","Guija","10","Moderado"
"1999",0.14,"SPI OND","SPI 3","Guija","10","Moderado"
"2000",0.26,"SPI OND","SPI 3","Guija","10","Moderado"
"2001",0.18,"SPI OND","SPI 3","Guija","10","Moderado"
"2002",0.42,"SPI OND","SPI 3","Guija","10","Moderado"
"2003",0.02,"SPI OND","SPI 3","Guija","10","Moderado"
"2004",0.22,"SPI OND","SPI 3","Guija","10","Moderado"
"2005",0.13,"SPI OND","SPI 3","Guija","10","Moderado"
"2006",0.19,"SPI OND","SPI 3","Guija","10","Moderado"
"2007",0.1,"SPI OND","SPI 3","Guija","10","Moderado"
"2008",0.24,"SPI OND","SPI 3","Guija","10","Moderado"
"2009",0.22,"SPI OND","SPI 3","Guija","10","Moderado"
"2010",0.01,"SPI OND","SPI 3","Guija","10","Moderado"
"2011",0.25,"SPI OND","SPI 3","Guija","10","Moderado"
"2012",0.42,"SPI OND","SPI 3","Guija","10","Moderado"
"2013",0.2,"SPI OND","SPI 3","Guija","10","Moderado"
"2014",0.04,"SPI OND","SPI 3","Guija","10","Moderado"
"2015",0.47,"SPI OND","SPI 3","Guija","10","Moderado"
"2016",0.04,"SPI OND","SPI 3","Guija","10","Moderado"
"2017",0.08,"SPI OND","SPI 3","Guija","10","Moderado"
"2018",0.28,"SPI OND","SPI 3","Guija","10","Moderado"
"2019",0.31,"SPI OND","SPI 3","Guija","10","Moderado"
"2020",0.15,"SPI OND","SPI 3","Guija","10","Moderado"
"1993",0.34,"SPI OND","SPI 3","Changara","10","Moderado"
"1994",0.23,"SPI OND","SPI 3","Changara","10","Moderado"
"1995",0.16,"SPI OND","SPI 3","Changara","10","Moderado"
"1996",0.14,"SPI OND","SPI 3","Changara","10","Moderado"
"1997",0.08,"SPI OND","SPI 3","Changara","10","Moderado"
"1998",0.36,"SPI OND","SPI 3","Changara","10","Moderado"
"1999",0.11,"SPI OND","SPI 3","Changara","10","Moderado"
"2000",0.19,"SPI OND","SPI 3","Changara","10","Moderado"
"2001",0.23,"SPI OND","SPI 3","Changara","10","Moderado"
"2002",0.28,"SPI OND","SPI 3","Changara","10","Moderado"
"2003",0.11,"SPI OND","SPI 3","Changara","10","Moderado"
"2004",0.13,"SPI OND","SPI 3","Changara","10","Moderado"
"2005",0.1,"SPI OND","SPI 3","Changara","10","Moderado"
"2006",0.19,"SPI OND","SPI 3","Changara","10","Moderado"
"2007",0.08,"SPI OND","SPI 3","Changara","10","Moderado"
