"Year_of_issue","Probability","Index","Aggregation","District","Month_of_issue","Category"
"2001",0.29,"SPI JFM","SPI 3","Guija","10","Moderado"
"2002",0.28,"SPI JFM","SPI 3","Guija","10","Moderado"
"2003",0.3,"SPI JFM","SPI 3","Guija","10","Moderado"
"2004",0.21,"SPI JFM","SPI 3","Guija","10","Moderado"
"2005",0.16,"SPI JFM","SPI 3","Guija","10","Moderado"
"2006",0.26,"SPI JFM","SPI 3","Guija","10","Moderado"
"2007",0.14,"SPI JFM","SPI 3","Guija","10","Moderado"
"2008",0.08,"SPI JFM","SPI 3","Guija","10","Moderado"
"2009",0.3,"SPI JFM","SPI 3","Guija","10","Moderado"
"2010",0.11,"SPI JFM","SPI 3","Guija","10","Moderado"
"2011",0.19,"SPI JFM","SPI 3","Guija","10","Moderado"
"2012",0.2,"SPI JFM","SPI 3","Guija","10","Moderado"
"2013",0.24,"SPI JFM","SPI 3","Guija","10","Moderado"
"2014",0.27,"SPI JFM","SPI 3","Guija","10","Moderado"
"2015",0.51,"SPI JFM","SPI 3","Guija","10","Moderado"
"2016",0.08,"SPI JFM","SPI 3","Guija","10","Moderado"
"2017",0.15,"SPI JFM","SPI 3","Guija","10","Moderado"
"2018",0.21,"SPI JFM","SPI 3","Guija","10","Moderado"
"2019",0.38,"SPI JFM","SPI 3","Guija","10","Moderado"
"2020",0.3,"SPI JFM","SPI 3","Guija","10","Moderado"
"1993",0.07,"SPI JFM","SPI 3","Changara","10","Moderado"
"1994",0.28,"SPI JFM","SPI 3","Changara","10","Moderado"
"1995",0.07,"SPI JFM","SPI 3","Changara","10","Moderado"
"1996",0.13,"SPI JFM","SPI 3","Changara","10","Moderado"
"1997",0.24,"SPI JFM","SPI 3","Changara","10","Moderado"
"1998",0,"SPI JFM","SPI 3","Changara","10","Moderado"
"1999",0.13,"SPI JFM","SPI 3","Changara","10","Moderado"
"2000",0.3,"SPI JFM","SPI 3","Changara","10","Moderado"
"2001",0.14,"SPI JFM","SPI 3","Changara","10","Moderado"
"2002",0.43,"SPI JFM","SPI 3","Changara","10","Moderado"
"2003",0.31,"SPI JFM","SPI 3","Changara","10","Moderado"
"2004",0.06,"SPI JFM","SPI 3","Changara","10","Moderado"
"2005",0.04,"SPI JFM","SPI 3","Changara","10","Moderado"
"2006",0.28,"SPI JFM","SPI 3","Changara","10","Moderado"
"2007",0.16,"SPI JFM","SPI 3","Changara","10","Moderado"
"2008",0.1,"SPI JFM","SPI 3","Changara","10","Moderado"
"2009",0.41,"SPI JFM","SPI 3","Changara","10","Moderado"
"2010",0.1,"SPI JFM","SPI 3","Changara","10","Moderado"
"2011",0.22,"SPI JFM","SPI 3","Changara","10","Moderado"
"2012",0.12,"SPI JFM","SPI 3","Changara","10","Moderado"
"2013",0.16,"SPI JFM","SPI 3","Changara","10","Moderado"
"2014",0.34,"SPI JFM","SPI 3","Changara","10","Moderado"
"2015",0.4,"SPI JFM","SPI 3","Changara","10","Moderado"
"2016",0.16,"SPI JFM","SPI 3","Changara","10","Moderado"
"2017",0.12,"SPI JFM","SPI 3","Changara","10","Moderado"
"2018",0.2,"SPI JFM","SPI 3","Changara","10","Moderado"
"2019",0.26,"SPI JFM","SPI 3","Changara","10","Moderado"
"2020",0.09,"SPI JFM","SPI 3","Changara","10","Moderado"
"1993",0.04,"SPI JFM","SPI 3","Marara","10","Moderado"
"1994",0.36,"SPI JFM","SPI 3","Marara","10","Moderado"
"1995",0.08,"SPI JFM","SPI 3","Marara","10","Moderado"
"1996",0.19,"SPI JFM","SPI 3","Marara","10","Moderado"
"1997",0.2,"SPI JFM","SPI 3","Marara","10","Moderado"
"1998",0,"SPI JFM","SPI 3","Marara","10","Moderado"
"1999",0.12,"SPI JFM","SPI 3","Marara","10","Moderado"
"2000",0.28,"SPI JFM","SPI 3","Marara","10","Moderado"
"2001",0.17,"SPI JFM","SPI 3","Marara","10","Moderado"
"2002",0.41,"SPI JFM","SPI 3","Marara","10","Moderado"
"2003",0.32,"SPI JFM","SPI 3","Marara","10","Moderado"
"2004",0.08,"SPI JFM","SPI 3","Marara","10","Moderado"
"2005",0.04,"SPI JFM","SPI 3","Marara","10","Moderado"
"2006",0.28,"SPI JFM","SPI 3","Marara","10","Moderado"
"2007",0.17,"SPI JFM","SPI 3","Marara","10","Moderado"
"2008",0.07,"SPI JFM","SPI 3","Marara","10","Moderado"
"2009",0.36,"SPI JFM","SPI 3","Marara","10","Moderado"
"2010",0.12,"SPI JFM","SPI 3","Marara","10","Moderado"
"2011",0.23,"SPI JFM","SPI 3","Marara","10","Moderado"
"2012",0.15,"SPI JFM","SPI 3","Marara","10","Moderado"
"2013",0.13,"SPI JFM","SPI 3","Marara","10","Moderado"
"2014",0.29,"SPI JFM","SPI 3","Marara","10","Moderado"
"2015",0.4,"SPI JFM","SPI 3","Marara","10","Moderado"
"2016",0.15,"SPI JFM","SPI 3","Marara","10","Moderado"
"2017",0.11,"SPI JFM","SPI 3","Marara","10","Moderado"
"2018",0.19,"SPI JFM","SPI 3","Marara","10","Moderado"
"2019",0.21,"SPI JFM","SPI 3","Marara","10","Moderado"
"2020",0.11,"SPI JFM","SPI 3","Marara","10","Moderado"
"1993",0.02,"SPI ND","SPI 2","Chibuto","10","Moderado"
"1994",0.45,"SPI ND","SPI 2","Chibuto","10","Moderado"
"1995",0.05,"SPI ND","SPI 2","Chibuto","10","Moderado"
"1996",0.1,"SPI ND","SPI 2","Chibuto","10","Moderado"
"1997",0.26,"SPI ND","SPI 2","Chibuto","10","Moderado"
"1998",0.01,"SPI ND","SPI 2","Chibuto","10","Moderado"
"1999",0.08,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2000",0.24,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2001",0.26,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2002",0.42,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2003",0.06,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2004",0.19,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2005",0.04,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2006",0.23,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2007",0.1,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2008",0.22,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2009",0.24,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2010",0,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2011",0.31,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2012",0.38,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2013",0.28,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2014",0.08,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2015",0.44,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2016",0.11,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2017",0.13,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2018",0.3,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2019",0.31,"SPI ND","SPI 2","Chibuto","10","Moderado"
"2020",0.19,"SPI ND","SPI 2","Chibuto","10","Moderado"
"1993",0.04,"SPI ND","SPI 2","Guija","10","Moderado"
"1994",0.49,"SPI ND","SPI 2","Guija","10","Moderado"
"1995",0.03,"SPI ND","SPI 2","Guija","10","Moderado"
"1996",0.1,"SPI ND","SPI 2","Guija","10","Moderado"
"1997",0.35,"SPI ND","SPI 2","Guija","10","Moderado"
"1998",0.04,"SPI ND","SPI 2","Guija","10","Moderado"
"1999",0.04,"SPI ND","SPI 2","Guija","10","Moderado"
"2000",0.24,"SPI ND","SPI 2","Guija","10","Moderado"
"2001",0.19,"SPI ND","SPI 2","Guija","10","Moderado"
"2002",0.44,"SPI ND","SPI 2","Guija","10","Moderado"
"2003",0.05,"SPI ND","SPI 2","Guija","10","Moderado"
"2004",0.18,"SPI ND","SPI 2","Guija","10","Moderado"
"2005",0.06,"SPI ND","SPI 2","Guija","10","Moderado"
"2006",0.21,"SPI ND","SPI 2","Guija","10","Moderado"
"2007",0.08,"SPI ND","SPI 2","Guija","10","Moderado"
"2008",0.2,"SPI ND","SPI 2","Guija","10","Moderado"
"2009",0.3,"SPI ND","SPI 2","Guija","10","Moderado"
"2010",0,"SPI ND","SPI 2","Guija","10","Moderado"
"2011",0.24,"SPI ND","SPI 2","Guija","10","Moderado"
"2012",0.35,"SPI ND","SPI 2","Guija","10","Moderado"
"2013",0.31,"SPI ND","SPI 2","Guija","10","Moderado"
"2014",0.08,"SPI ND","SPI 2","Guija","10","Moderado"
"2015",0.43,"SPI ND","SPI 2","Guija","10","Moderado"
"2016",0.1,"SPI ND","SPI 2","Guija","10","Moderado"
"2017",0.15,"SPI ND","SPI 2","Guija","10","Moderado"
"2018",0.28,"SPI ND","SPI 2","Guija","10","Moderado"
"2019",0.3,"SPI ND","SPI 2","Guija","10","Moderado"
"2020",0.22,"SPI ND","SPI 2","Guija","10","Moderado"
"1993",0.34,"SPI ND","SPI 2","Changara","10","Moderado"
"1994",0.24,"SPI ND","SPI 2","Changara","10","Moderado"
"1995",0.13,"SPI ND","SPI 2","Changara","10","Moderado"
"1996",0.15,"SPI ND","SPI 2","Changara","10","Moderado"
"1997",0.11,"SPI ND","SPI 2","Changara","10","Moderado"
"1998",0.35,"SPI ND","SPI 2","Changara","10","Moderado"
"1999",0.05,"SPI ND","SPI 2","Changara","10","Moderado"
"2000",0.15,"SPI ND","SPI 2","Changara","10","Moderado"
"2001",0.15,"SPI ND","SPI 2","Changara","10","Moderado"
"2002",0.34,"SPI ND","SPI 2","Changara","10","Moderado"
"2003",0.08,"SPI ND","SPI 2","Changara","10","Moderado"
"2004",0.11,"SPI ND","SPI 2","Changara","10","Moderado"
"2005",0.09,"SPI ND","SPI 2","Changara","10","Moderado"
"2006",0.2,"SPI ND","SPI 2","Changara","10","Moderado"
"2007",0.12,"SPI ND","SPI 2","Changara","10","Moderado"
"2008",0.26,"SPI ND","SPI 2","Changara","10","Moderado"
"2009",0.29,"SPI ND","SPI 2","Changara","10","Moderado"
"2010",0.17,"SPI ND","SPI 2","Changara","10","Moderado"
"2011",0.18,"SPI ND","SPI 2","Changara","10","Moderado"
"2012",0.29,"SPI ND","SPI 2","Changara","10","Moderado"
"2013",0.26,"SPI ND","SPI 2","Changara","10","Moderado"
"2014",0.03,"SPI ND","SPI 2","Changara","10","Moderado"
"2015",0.42,"SPI ND","SPI 2","Changara","10","Moderado"
"2016",0.24,"SPI ND","SPI 2","Changara","10","Moderado"
"2017",0.11,"SPI ND","SPI 2","Changara","10","Moderado"
"2018",0.14,"SPI ND","SPI 2","Changara","10","Moderado"
"2019",0.16,"SPI ND","SPI 2","Changara","10","Moderado"
"2020",0.06,"SPI ND","SPI 2","Changara","10","Moderado"
"1993",0.32,"SPI ND","SPI 2","Marara","10","Moderado"
"1994",0.24,"SPI ND","SPI 2","Marara","10","Moderado"
"1995",0.15,"SPI ND","SPI 2","Marara","10","Moderado"
"1996",0.17,"SPI ND","SPI 2","Marara","10","Moderado"
"1997",0.16,"SPI ND","SPI 2","Marara","10","Moderado"
"1998",0.37,"SPI ND","SPI 2","Marara","10","Moderado"
"1999",0.09,"SPI ND","SPI 2","Marara","10","Moderado"
"2000",0.17,"SPI ND","SPI 2","Marara","10","Moderado"
"2001",0.13,"SPI ND","SPI 2","Marara","10","Moderado"
"2002",0.32,"SPI ND","SPI 2","Marara","10","Moderado"
"2003",0.08,"SPI ND","SPI 2","Marara","10","Moderado"
"2004",0.13,"SPI ND","SPI 2","Marara","10","Moderado"
"2005",0.08,"SPI ND","SPI 2","Marara","10","Moderado"
"2006",0.21,"SPI ND","SPI 2","Marara","10","Moderado"
"2007",0.08,"SPI ND","SPI 2","Marara","10","Moderado"
"2008",0.21,"SPI ND","SPI 2","Marara","10","Moderado"
"2009",0.33,"SPI ND","SPI 2","Marara","10","Moderado"
"2010",0.2,"SPI ND","SPI 2","Marara","10","Moderado"
"2011",0.2,"SPI ND","SPI 2","Marara","10","Moderado"
"2012",0.36,"SPI ND","SPI 2","Marara","10","Moderado"
"2013",0.27,"SPI ND","SPI 2","Marara","10","Moderado"
"2014",0.07,"SPI ND","SPI 2","Marara","10","Moderado"
"2015",0.4,"SPI ND","SPI 2","Marara","10","Moderado"
"2016",0.28,"SPI ND","SPI 2","Marara","10","Moderado"
"2017",0.08,"SPI ND","SPI 2","Marara","10","Moderado"
"2018",0.16,"SPI ND","SPI 2","Marara","10","Moderado"
"2019",0.19,"SPI ND","SPI 2","Marara","10","Moderado"
"2020",0.09,"SPI ND","SPI 2","Marara","10","Moderado"
"1993",0,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"1994",0.26,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"1995",0,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"1996",0.16,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"1997",0.32,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"1998",0.04,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"1999",0.06,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2000",0.24,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2001",0.15,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2002",0.48,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2003",0.14,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2004",0.16,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2005",0.06,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2006",0.29,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2007",0.18,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2008",0.15,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2009",0.28,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2010",0.03,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2011",0.1,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2012",0.33,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2013",0.22,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2014",0.11,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2015",0.56,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2016",0.05,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2017",0.08,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2018",0.25,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2019",0.31,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"2020",0.27,"SPI NDJ","SPI 3","Chibuto","10","Moderado"
"1993",0.02,"SPI NDJ","SPI 3","Guija","10","Moderado"
"1994",0.27,"SPI NDJ","SPI 3","Guija","10","Moderado"
"1995",0.01,"SPI NDJ","SPI 3","Guija","10","Moderado"
"1996",0.17,"SPI NDJ","SPI 3","Guija","10","Moderado"
"1997",0.34,"SPI NDJ","SPI 3","Guija","10","Moderado"
"1998",0.04,"SPI NDJ","SPI 3","Guija","10","Moderado"
"1999",0.05,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2000",0.26,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2001",0.2,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2002",0.5,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2003",0.12,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2004",0.18,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2005",0.1,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2006",0.29,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2007",0.16,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2008",0.12,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2009",0.32,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2010",0.02,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2011",0.1,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2012",0.29,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2013",0.24,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2014",0.09,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2015",0.59,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2016",0.08,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2017",0.12,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2018",0.24,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2019",0.32,"SPI NDJ","SPI 3","Guija","10","Moderado"
"2020",0.24,"SPI NDJ","SPI 3","Guija","10","Moderado"
"1993",0.22,"SPI NDJ","SPI 3","Changara","10","Moderado"
"1994",0.2,"SPI NDJ","SPI 3","Changara","10","Moderado"
"1995",0.11,"SPI NDJ","SPI 3","Changara","10","Moderado"
"1996",0.2,"SPI NDJ","SPI 3","Changara","10","Moderado"
"1997",0.16,"SPI NDJ","SPI 3","Changara","10","Moderado"
"1998",0.14,"SPI NDJ","SPI 3","Changara","10","Moderado"
"1999",0.08,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2000",0.2,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2001",0.16,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2002",0.47,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2003",0.17,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2004",0.13,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2005",0.09,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2006",0.24,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2007",0.12,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2008",0.11,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2009",0.42,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2010",0.12,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2011",0.16,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2012",0.21,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2013",0.1,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2014",0.21,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2015",0.44,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2016",0.18,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2017",0.08,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2018",0.11,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2019",0.22,"SPI NDJ","SPI 3","Changara","10","Moderado"
"2020",0.14,"SPI NDJ","SPI 3","Changara","10","Moderado"
"1993",0.17,"SPI NDJ","SPI 3","Marara","10","Moderado"
"1994",0.21,"SPI NDJ","SPI 3","Marara","10","Moderado"
"1995",0.09,"SPI NDJ","SPI 3","Marara","10","Moderado"
"1996",0.2,"SPI NDJ","SPI 3","Marara","10","Moderado"
"1997",0.12,"SPI NDJ","SPI 3","Marara","10","Moderado"
"1998",0.16,"SPI NDJ","SPI 3","Marara","10","Moderado"
"1999",0.08,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2000",0.12,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2001",0.15,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2002",0.47,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2003",0.08,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2004",0.19,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2005",0.12,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2006",0.25,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2007",0.11,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2008",0.08,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2009",0.4,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2010",0.17,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2011",0.15,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2012",0.21,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2013",0.11,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2014",0.2,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2015",0.48,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2016",0.17,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2017",0.15,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2018",0.12,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2019",0.19,"SPI NDJ","SPI 3","Marara","10","Moderado"
"2020",0.17,"SPI NDJ","SPI 3","Marara","10","Moderado"
"1993",0.08,"SPI ON","SPI 2","Chibuto","10","Moderado"
"1994",0.33,"SPI ON","SPI 2","Chibuto","10","Moderado"
"1995",0.06,"SPI ON","SPI 2","Chibuto","10","Moderado"
"1996",0.12,"SPI ON","SPI 2","Chibuto","10","Moderado"
"1997",0.2,"SPI ON","SPI 2","Chibuto","10","Moderado"
"1998",0.14,"SPI ON","SPI 2","Chibuto","10","Moderado"
"1999",0.22,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2000",0.26,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2001",0.09,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2002",0.39,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2003",0.14,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2004",0.2,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2005",0.3,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2006",0.24,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2007",0.08,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2008",0.36,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2009",0.19,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2010",0.11,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2011",0.12,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2012",0.45,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2013",0.04,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2014",0.08,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2015",0.35,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2016",0.05,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2017",0.1,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2018",0.26,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2019",0.12,"SPI ON","SPI 2","Chibuto","10","Moderado"
"2020",0.1,"SPI ON","SPI 2","Chibuto","10","Moderado"
"1993",0.08,"SPI ON","SPI 2","Guija","10","Moderado"
"1994",0.33,"SPI ON","SPI 2","Guija","10","Moderado"
"1995",0.09,"SPI ON","SPI 2","Guija","10","Moderado"
"1996",0.12,"SPI ON","SPI 2","Guija","10","Moderado"
"1997",0.24,"SPI ON","SPI 2","Guija","10","Moderado"
"1998",0.09,"SPI ON","SPI 2","Guija","10","Moderado"
"1999",0.22,"SPI ON","SPI 2","Guija","10","Moderado"
"2000",0.26,"SPI ON","SPI 2","Guija","10","Moderado"
"2001",0.09,"SPI ON","SPI 2","Guija","10","Moderado"
"2002",0.38,"SPI ON","SPI 2","Guija","10","Moderado"
"2003",0.16,"SPI ON","SPI 2","Guija","10","Moderado"
"2004",0.17,"SPI ON","SPI 2","Guija","10","Moderado"
"2005",0.34,"SPI ON","SPI 2","Guija","10","Moderado"
"2006",0.15,"SPI ON","SPI 2","Guija","10","Moderado"
"2007",0.08,"SPI ON","SPI 2","Guija","10","Moderado"
"2008",0.34,"SPI ON","SPI 2","Guija","10","Moderado"
"2009",0.23,"SPI ON","SPI 2","Guija","10","Moderado"
"2010",0.08,"SPI ON","SPI 2","Guija","10","Moderado"
"2011",0.13,"SPI ON","SPI 2","Guija","10","Moderado"
"2012",0.42,"SPI ON","SPI 2","Guija","10","Moderado"
"2013",0.04,"SPI ON","SPI 2","Guija","10","Moderado"
"2014",0.12,"SPI ON","SPI 2","Guija","10","Moderado"
"2015",0.34,"SPI ON","SPI 2","Guija","10","Moderado"
"2016",0.03,"SPI ON","SPI 2","Guija","10","Moderado"
"2017",0.1,"SPI ON","SPI 2","Guija","10","Moderado"
"2018",0.29,"SPI ON","SPI 2","Guija","10","Moderado"
"2019",0.13,"SPI ON","SPI 2","Guija","10","Moderado"
